dRFl	dRFd	dJ	dth
0.9998002152	0.9998002152	0.9997997384	99.997997294
0.9995952062	0.9996304853	0.999591869	99.9959183156
0.9993768709	0.9994212035	0.9993763942	99.9937439943
0.9991871579	0.99921671	0.999172382	99.9916078421
0.9990227227	0.9990394039	0.9989626715	99.9893954228
0.9988092155	0.9988363792	0.998726297	99.9869541609
0.9986152678	0.9986538652	0.9984899504	99.9845892168
0.9984032334	0.998407998	0.9982421977	99.9823005879
0.9981373885	0.9981421525	0.9979792324	99.9801454863
0.9979025407	0.9979034933	0.9977105861	99.9773991958
0.9977124913	0.9976915346	0.9974724549	99.9750343648
0.9974757885	0.9974353089	0.9972210191	99.9726504909
0.9972067339	0.9972072101	0.9969543794	99.9703047866
0.9969853268	0.9969691389	0.9967068173	99.9676730537
0.9967410933	0.9967196707	0.9964459582	99.9649460046
0.9964649979	0.9964235869	0.9961794222	99.9621999229
0.9962303469	0.9961684759	0.9959300529	99.9593776004
0.9960119035	0.9959229149	0.9956750051	99.9566888032
0.9957301993	0.9956854729	0.9954028633	99.9539428349
0.9954214173	0.9954038148	0.9951193426	99.9513113173
0.9951483588	0.995155494	0.9948548865	99.9486607658
0.9949190947	0.994912436	0.9945999764	99.9459530444
0.9946851013	0.9946537141	0.9943527069	99.9432834958
0.9944649254	0.9944430518	0.9941130749	99.9406139829
0.9942181481	0.9942195745	0.9938639644	99.9380779787
0.9940108598	0.9939965976	0.9936148851	99.935332266
0.9938159524	0.9937803007	0.993358233	99.932548457
0.9935664039	0.9935435895	0.993094011	99.9298981542
0.9932935999	0.993307857	0.9928222222	99.9273050863
0.9930488687	0.9930498191	0.992561872	99.9246357868
0.9927989413	0.992768059	0.9923015559	99.9219665229
0.9926231558	0.9925699481	0.9920640711	99.9194116895
0.9924331348	0.9923476313	0.9918247151	99.9168187576
0.9922208079	0.9921058664	0.9915682943	99.9141114676
0.9920550472	0.9918850263	0.9913346953	99.9114804744
0.9918142677	0.9916699089	0.9910897308	99.9088876454
0.9915839635	0.9914282266	0.9908447966	99.906256721
0.9913285234	0.991189422	0.9905979943	99.9037783456
0.991144323	0.9909957409	0.9903645097	99.9011093604
0.9909563424	0.9907930605	0.9901310526	99.8985547936
0.9907318333	0.9905861296	0.9898957253	99.8959621324
